1, 10000, 1365.33, 0.000117
1, 20000, 1365.33, 0.000214
1, 30000, 1365.33, 0.000327
1, 40000, 1365.33, 0.000426
1, 50000, 1365.33, 0.000536
1, 60000, 1365.33, 0.000639
1, 70000, 1365.33, 0.000749
1, 80000, 1365.33, 0.000856
1, 90000, 1365.33, 0.000962
1, 100000, 1365.33, 0.001068
2, 10000, 1365.33, 0.000172
2, 20000, 1365.33, 0.000113
2, 30000, 1365.33, 0.00017
2, 40000, 1365.33, 0.000223
2, 50000, 1365.33, 0.000269
2, 60000, 1365.33, 0.000322
2, 70000, 1365.33, 0.000385
2, 80000, 1365.33, 0.000428
2, 90000, 1365.33, 0.000487
2, 100000, 1365.33, 0.000534
3, 10000, 1365.33, 0.000111
3, 20000, 1365.33, 7.5e-05
3, 30000, 1365.33, 0.000112
3, 40000, 1365.33, 0.000156
3, 50000, 1365.33, 0.00018
3, 60000, 1365.33, 0.000215
3, 70000, 1365.33, 0.00025
3, 80000, 1365.33, 0.000291
3, 90000, 1365.33, 0.000321
3, 100000, 1365.33, 0.000357
4, 10000, 1365.33, 0.000118
4, 20000, 1365.33, 5.9e-05
4, 30000, 1365.33, 9.3e-05
4, 40000, 1365.33, 0.000109
4, 50000, 1365.33, 0.000136
4, 60000, 1365.33, 0.000162
4, 70000, 1365.33, 0.000189
4, 80000, 1365.33, 0.000215
4, 90000, 1365.33, 0.000247
4, 100000, 1365.33, 0.000268
5, 10000, 1365.33, 0.000114
5, 20000, 1365.33, 4.6e-05
5, 30000, 1365.33, 6.8e-05
5, 40000, 1365.33, 8.9e-05
5, 50000, 1365.33, 0.00011
5, 60000, 1365.33, 0.000137
5, 70000, 1365.33, 0.000165
5, 80000, 1365.33, 0.000174
5, 90000, 1365.33, 0.000195
5, 100000, 1365.33, 0.000216
6, 10000, 1365.33, 0.000116
6, 20000, 1365.33, 3.9e-05
6, 30000, 1365.33, 6.6e-05
6, 40000, 1365.33, 8.7e-05
6, 50000, 1365.33, 9.2e-05
6, 60000, 1365.33, 0.00011
6, 70000, 1365.33, 0.000127
6, 80000, 1365.33, 0.000146
6, 90000, 1365.33, 0.000163
6, 100000, 1365.33, 0.000181
7, 10000, 1365.33, 0.000113
7, 20000, 1365.33, 3.9e-05
7, 30000, 1365.33, 5e-05
7, 40000, 1365.33, 6.5e-05
7, 50000, 1365.33, 8.1e-05
7, 60000, 1365.33, 9.6e-05
7, 70000, 1365.33, 0.000111
7, 80000, 1365.33, 0.000126
7, 90000, 1365.33, 0.000141
7, 100000, 1365.33, 0.00021
8, 10000, 1365.33, 0.000106
8, 20000, 1365.33, 3.4e-05
8, 30000, 1365.33, 4.5e-05
8, 40000, 1365.33, 5.8e-05
8, 50000, 1365.33, 7.1e-05
8, 60000, 1365.33, 8.4e-05
8, 70000, 1365.33, 9.8e-05
8, 80000, 1365.33, 0.00011
8, 90000, 1365.33, 0.000124
8, 100000, 1365.33, 0.000138
9, 10000, 1365.33, 0.000111
9, 20000, 1365.33, 3.2e-05
9, 30000, 1365.33, 4.9e-05
9, 40000, 1365.33, 5.3e-05
9, 50000, 1365.33, 6.4e-05
9, 60000, 1365.33, 7.6e-05
9, 70000, 1365.33, 8.8e-05
9, 80000, 1365.33, 0.0001
9, 90000, 1365.33, 0.000112
9, 100000, 1365.33, 0.000124
10, 10000, 1365.33, 0.004967
10, 20000, 1365.33, 0.00234
10, 30000, 1365.33, 3.8e-05
10, 40000, 1365.33, 4.8e-05
10, 50000, 1365.33, 5.9e-05
10, 60000, 1365.33, 7e-05
10, 70000, 1365.33, 8.1e-05
10, 80000, 1365.33, 9.1e-05
10, 90000, 1365.33, 0.000102
10, 100000, 1365.33, 0.000112
11, 10000, 1365.33, 9.2e-05
11, 20000, 1365.33, 2.6e-05
11, 30000, 1365.33, 3.6e-05
11, 40000, 1365.33, 4.7e-05
11, 50000, 1365.33, 6.3e-05
11, 60000, 1365.33, 6.6e-05
11, 70000, 1365.33, 8e-05
11, 80000, 1365.33, 8.2e-05
11, 90000, 1365.33, 9.3e-05
11, 100000, 1365.33, 0.000102
12, 10000, 1365.33, 0.000106
12, 20000, 1365.33, 2.4e-05
12, 30000, 1365.33, 3.3e-05
12, 40000, 1365.33, 4.1e-05
12, 50000, 1365.33, 4.9e-05
12, 60000, 1365.33, 5.9e-05
12, 70000, 1365.33, 6.8e-05
12, 80000, 1365.33, 8e-05
12, 90000, 1365.33, 8.9e-05
12, 100000, 1365.33, 9.7e-05
